MainTitle,Type,Genre,Weighted_Score,Themes,Summary
Saiyuki,OAV,"['action', 'adventure', 'comedy', 'drama', 'fantasy', 'supernatural']",6.8003,['demons'],"On present day Earth, the brotherhood of humans and demons (youkai) has been broken. A corrupt and evil demon, Gyumao, is performing experiments that combine human science and youkai magic, causing all demons to go crazy. Now, Genjo Sanzo, a trash-taking Buddist monk, is given a mission: Deliver a sacred scroll, the Maten Scripture, to India. For the journey, he is teamed up with Son Goku, a 500-year-old demon, Sha Gojyo, a red-eyed half demon human, and Cho Hakkai, a school teacher turned demon. Together, the four of them must travel to India, but the road ahead will surely be full of speed bumps, and demon attacks. <em class=de-emphasized>(from manga, K. Minekura)</em>"
Princess 69: Midnight Gymnastics,OAV,['erotica'],6.0439,"['crossdressing', 'incest']","Fubuki is searching for his step-sister, Miku Haneoka. While searching he finds none other than Tomomi, who explains what the Mignight Gymnastics are and what they do. To infiltrate the team he ""becomes"" a girl at school and the coach of the Midnight Gymnastics. But he has yet to witness the depravity of the Midnight Gymnastics."
Bokurano,TV,"['drama', 'horror', 'psychological', 'science fiction']",7.5351,"['death', 'mecha', 'parallel universe', 'real robot', 'super robot']","During a summer camp, 15 children, 8 males and 7 females, find a grotto by the sea. Deep within they discover working computers and some electronic equipment, and later the owner, a man called Kokopelli. Kokopelli claimed to be a programmer working on a brand new game, in which a large robot has to defend the Earth against fifteen alien invasions. He persuades the children to test the game and sign a contract. All but one of them signs; barely a moment later they mysteriously awaken on the shore believing what happened was just a dream."
Ikki Tousen: Dragon Destiny,TV,"['action', 'supernatural']",6.6694,"['ecchi', 'fanservice', 'martial arts']","Loosely based on the novel ""Romance of the Three Kingdoms"", modern day Japan sees a similar struggle for power between different rival schools with the three strongest being: Kyosho Academy led by Sousou Moutoku, Nanyo Academy by Sonsaku Hakufu, and Ryuubi Gentoku from Seito High School. Together these three tousei, each with their own mangatama, fight for the honour of becoming ikki tousen and fulfilling their fated destiny through battle and conquest."
Murder Princess,OAV,"['adventure', 'drama', 'fantasy']",6.8994,['robots'],"In the land of Foreland a coup d'état has occurred and the princess, after witnessing the death of the King, is on the run. She meets with battle-hungry bounty hunter Falis, and with a twist of fate they both switch souls, making Alita the maid of the now princess Falis. Named for her bravery in confronting the enemy as ‘Murder Princess’, Falis must continue to be the princess as well as confronting any new opponent that comes her way."
Ayumayu Theater,ONA,['comedy'],6.1774,No Theme Found,"A spin-off show from Kimi ga Nozomu Eien. It's about the daily adventures of Ayu and Mayu, the two waitresses from Sky Temple and they do some comedy stuff"
Countdown to Delight,OAV,['erotica'],6.0002,No Theme Found,"Motoki is a junior-high student who can't ever concentrate on homework because of his sisters' loud lesbian sex in the other rooms, he doesn't think life can get much worse.....until he gets a tutor and falls in love with her, from which he becomes a sex slave for her."
Stairs,OAV,"['drama', 'erotica']",5.3624,No Theme Found,"Makoto has been best friends with the beautiful Une since they were kids. Every school morning, he rides his bike over to her place, picks her up, and takes her to the train station where they catch the train to high school. He's very much in love with her, but doesn't do anything until he discovers another guy in his class is about to make a move on her."
Musashi no Ken,TV,['tournament'],6.7532,"['Kendo', 'sports']",No summary found
Lucky Star,TV,"['comedy', 'slice of life']",7.9164,"['moe', 'otaku', 'parody', 'school', 'twins']","Portrays the lives of several school girls attending a Japanese high school with a very loose humor tone. The main heroine is Konata Izumi, an athletic and intelligent girl who, despite these attributes, is not in a sports club, and her grades remain low. Her laziness at school is due to her love for anime and video games, and she is not interested in much else."
Tail of Two Sisters,OAV,['erotica'],5.5174,No Theme Found,"Two sisters attend the same college, one as a teacher and one as a student. Both of them, however, date college boys the same age. The younger sister has a big problem, because her boyfriend never seems ready to satisfy her. Her older sister's trouble is just the opposite."
Atagoal wa Neko no Mori,movie,[],8,No Theme Found,No summary found
The Hills Have Size,OAV,"['drama', 'erotica', 'romance']",6.6841,['incest'],"Ryoji has always been like a brother to his cousin, but all that changes when Ryoji witnesses his cousin's wife pleasuring herself one night. Then the next day, Ryoji walks in on Kasumi in the shower. Unable to get the image of Kasumi's massive breasts & her masturbation out of his mind, Ryoji makes it his mission to satisfy the unfulfilled woman. However, Kasumi's sister, Harumi, and Kasumi’s own daughter, Mio, have their own plans for Ryoji . . . ."
Anime Sanjushi: Aramis no Bōken,movie,['adventure'],5.7855,['historical'],"The musketeers help a damsel in distress, but unfortunately she is found dead the following day. D'Artagnan is arrested as prime suspect since he was the last one seen with the lady. Investigating the murder reveals that the crime is not only connected to Aramis's past, but to the French monarchy itself."
Maple Colors,OAV,"['comedy', 'drama', 'erotica', 'romance']",6.5546,"['ecchi', 'hentai']","Yoshijirō Saku has just transferred to Kōka Academy, which is famous for its theatrical activities. On his first day at school, he started a fight with Mirai Aoi. To make the matter worse, the fight was seen by Yukihito Aizen, the head of the Drama Club. All of Yoshijirō's classmates are problem students, and he thought he could use the fight to rid himself of them. Then, Yoshijirō is assigned to direct his class in a drama competition against the Drama Club. If they lose the competition, they will be suspended. However, because they are problem students, he has difficulties directing them."
Panty Flash Teacher,OAV,['erotica'],6.6561,No Theme Found,"Machiko Natsukawa is not in her teaching position long before she finds herself being blackmailed by a student. The student in question has Machiko's underwear, and by refusing to give them back, manages to draw Machiko into a sex orgy filled with the school's worst delinquents. This became her worst nightmare."
Haru no Ashioto The Movie: Ourin Dakkan,OAV,[],4.5722,No Theme Found,This is the fun story of three girls trying to protect their school from being taken over by a crazy English teacher.
Shiba-wanko no Wa no Kokoro,TV,[],3.4964,No Theme Found,No summary found
Rocket Girls,TV,"['adventure', 'comedy', 'science fiction']",7.201,No Theme Found,"A high school girl Morita Yukari visits Axia of the Solomon Islands in order to look for her father who became lost during his honeymoon trip. There, she meets a man named Nasuda of Solomon Space Agency, and she is hired to work part-time. That job is – an astronaut."
Little Twins,OAV,[],0,No Theme Found,No summary found
Little Twins: Bokura no Natsu ga Tondeiku,movie,[],0,No Theme Found,No summary found
Hana no Mahoutsukai Mary Bell: Phoenix no Kagi,movie,['magic'],6.6603,No Theme Found,No summary found
Perverted Thomas,OAV,"['comedy', 'erotica']",5.4915,No Theme Found,"One day while Thomas was looking for a job, he met a man that will teach him an ancient chinese secret that will tell him all he'll need to know about pleasuring and seducing women. With his new power, he takes his power all around pleasuring strangers."
Foxy Nudes,OAV,['erotica'],6.271,No Theme Found,"Etsuko Yamanobe is a sexy anchorwoman, the top on Tokyo Flower Television actually. To coax some hot ratings, Etsuko gets herself a front row seat to a hostage crisis. However, even though Damesuke went crazy when he was fired, and takes his boss's daughter hostage, he can't follow through. That's where Etsuko comes in. She forces Damesuke to engage in many graphical sex acts with Mayumi on TV. Yet in order to gain these ratings she must be doing so herself."
A Time to Screw,OAV,"['drama', 'erotica']",4.5516,No Theme Found,"After a young man wakes up in a mansion. After being told that by the maids that he was carried here after being hit on the head, a grandfather clock that quit working starts up again. And at the strike of Midnight all maids get overcome by desire and all manner of disturbing orgies are taken."
Saint October,TV,"['action', 'mystery', 'supernatural']",6.05,"['gothic lolita', 'magical girl', 'parody']","During a case to catch a mysterious masked kidnapper who has been kidnapping young boys for a strange man, Kotono Hayama is working harder during this case. One night after returning home late alone, Kotono runs into a young boy who's crying alone. With no where else to take him, Kotono brings him back to her home at Joshuna's church where it is discovered that he has amnesia and cannot remember even his own name. While there, Natsuki Shirafuji, Kotono's friend and fellow detective, arrives to add further information to the kidnapping case. Suddenly, the masked kidnapper appears and successfully kidnaps the boy, but Kotono chases after him and gets the boy back after a short scuffle. Just when all looks lost, the boy uses a magical power to bestow onto Kotono a similar power in order to defeat the kidnapper. After she won, he reveals that he has remembered what his name is: Juan. Now the focus has turned to who is the kidnapper's boss who has been pursuing Juan."
The Two Facials of Eve,OAV,['erotica'],5.3379,['incest'],"Keiichi Hayama always dreamed about doing it with his childhood friend, Tomo. But one day Tomo transformed into a mysterious beauty with big milk-jugs and a seductive tongue. The next afternoon, Keiichi came back from school to find her in his house. She is introduced as Reika, and she will be living with his family."
Chikan Jūnin-tai The Animation,OAV,['erotica'],6.1074,['hentai'],"There are nine men and a single woman called ""Chikan Juu Nin Tai"" (the 10 pursuers). They make their client's dreams come true, that wish to be ""pursued"" on a train."
Hōkago Mania Club,OAV,"['drama', 'erotica', 'magic']",4.4688,No Theme Found,No summary found
Anal Sanctuary,OAV,['erotica'],4.3738,No Theme Found,"Under the violin of St. Cecilia Acadamy lies an evil monster that feeds off your colon and grants power to the one who plays Kannone, the demon violin. The headmaster of the school starts a program that gathers all the most beautiful girls to his class, but now Yukina has the holy violin of St. Cecilia and will get revenge."
Amazing Nuts!,OAV,"['adventure', 'romance']",6.7687,['police'],A compilation of four music videos animated by Studio 4°C.
Secret of a Housewife,OAV,['erotica'],3.7623,No Theme Found,A housewife gets raped by a bunch of men. As it turns out she likes it and her life becomes a succession of perverted sexual adventures.
Saiyuki Reload: Burial,OAV,"['action', 'adventure', 'comedy', 'drama', 'supernatural']",7.3794,No Theme Found,Taking place in the past it offers a view at the Saiyuki quartet before their formation and their journey to the west.
Ari Doll,OAV,['erotica'],4.77,No Theme Found,"Momoka secretly falls for a student Nao. Strong and brave, she takes care of Nao on cold winter days, and if it is too cold Momoka takes hot baths."
Bincho-tan Jishu Seisaku Movie - Aozora ni Wasure Mono,OAV,['slice of life'],5.6855,No Theme Found,A 4 minute music Video showing the life of Bincho-tan
Relic Armor Legaciam,OAV,['science fiction'],5.7047,['mecha'],"The planet Libertia was once known as “the planet of death”, until humanity built three giant mirrors and created what seemed like an ideal land. It is on this planet that Professor Grace and his granddaughter Alcia live peacefully… until their home is attacked by Guild soldiers looking for the professor and for Legaciam – a special Armor that can resist extreme heat, allowing it to go to areas where humans would not survive normally. Alcia, who was at the time piloting Legaciam in order to help her grandfather with the testing, manages to get away… barely. But the Guild is determined to get Legaciam by any means necessary…"
Ajin Senshi,movie,[],0,No Theme Found,No summary found
Anime V Comic Rentaman,OAV,[],0,No Theme Found,No summary found
Boso Sengokushi,OAV,"['action', 'drama']",0,['gangs'],No summary found
Chō Bakumatsu Shōnen Seiki Takamaru,OAV,[],0,No Theme Found,No summary found
Shin Chō Bakumatsu Shōnen Seiki Takamaru,OAV,[],0,No Theme Found,No summary found
Eiyū Gaiden Mozaika,OAV,"['adventure', 'fantasy']",6.6087,No Theme Found,No summary found
The Gakuen Chōjo-tai,OAV,['supernatural'],6.2139,No Theme Found,No summary found
The Adventure of Gamba and Otters,movie,['adventure'],0,No Theme Found,"When Chuta, a badly injured mouse, staggers off a ship in Tokyo Harbor, he bumps into out-of-towners Gamba and Bobo, who are at a party being given by Yoisho, the sailor-mouse. Chuta tells the local mice that he has escaped from Devil's Island, where Norio the evil ermine has crushed the mice with his reign of terror."
Hoshikuzu Paradise,OAV,"['comedy', 'romance']",5.7457,"['family', 'idols']","After his mother passed away, high school student Hiroshi Houshou's long lost father suddenly reappears, with two new family members: a new mother who's also a famous actress, and her daughter, the popular and beautiful idol singer Rina Yuuki."
Huckleberry no Bōken,movie,['adventure'],0,No Theme Found,No summary found
Ippon Bōchō Mantarō,OAV,[],7,['cooking'],No summary found
Ishii Hisaichi no Daiseikai,OAV,[],0,No Theme Found,No summary found
Izumo,OAV 1991,"['action', 'drama']",6.6675,No Theme Found,No summary found
Jingi,OAV,['drama'],7,No Theme Found,No summary found
Jungle Wars,OAV,[],0,No Theme Found,No summary found
Koha Ginjiro,OAV,"['action', 'slice of life']",0,['school'],No summary found
Reideen,TV,['science fiction'],6.338,"['mecha', 'military']","Saiga is a normal high school student with a gift in mathematics. His daily routine is disrupted when his family gets news that his Father's remains have been discovered- a noted archeologist and researcher who had gone missing while exploring a site many years before. Among his remains were notes and artifacts that needed to be identified by the family near a notable triangular mountain in Japan known as ""Japan's pyramid"", a place suspected by some to be man-made. A meteor containing a strange robotic lifeform falls from the sky and begins to cause destruction, putting Saiga in danger and causing a mysterious bracelet from his father's research to activate and merge him with an ancient robot burried within the pyramid- a robot the runes describe as Reideen. It is now up to Saiga and guardian Reideen to fight against this unknown alien threat from the sky."
Naruto Shippūden,TV,"['action', 'drama']",7.7997,"['fighting', 'ninja', 'revenge', 'war']","Naruto Shippuuden is the continuation of the original animated TV series Naruto.The story revolves around an older and slightly more matured Uzumaki Naruto and his quest to save his friend Uchiha Sasuke from the grips of the snake-like Shinobi, Orochimaru. After 2 and a half years Naruto finally returns to his village of Konoha, and sets about putting his ambitions to work, though it will not be easy, as He has amassed a few (more dangerous) enemies, in the likes of the shinobi organization; Akatsuki."
Kumo ni Noru,OAV,[],0,No Theme Found,No summary found
Nagasarete Airantou,TV,"['adventure', 'comedy']",7.3503,"['fanservice', 'harem', 'talking animals']","One day, Ikuto has a fight with his father and as a result runs away from home in the heat of the moment. Everything was going well until he boarded a ship, but then he carelessly fell overboard. After encountering the most serious raging storm in a hundred years, and spending many days adrift, he arrives here, at ""Airantou"". However, this island is a little weird...because, this Airantou is an island comprising solely of girls. An (extremely enviable) destiny awaits Ikuto."
Hitohira,TV,"['comedy', 'drama']",7.1241,['school'],"Asai Mugi, a new student at Kumataka arts academy, has trouble speaking when she is confronted with her extreme stage fright. Forced to join the schools Drama Research Society by upperclassmen, she gradually changes due to the influence of drama."
Jūsō Kikō Dancouga Nova,TV,"['action', 'adventure', 'science fiction']",5.4906,['mecha'],"In the year 2104, lots of local armed conflicts threaten the world peace. Soon, however, a new force appears: Dancouga, a gigantic super robot or uncertain origin. It appears out of nowhere and always aids the losing side. Its true objectives are unknown. At some point, four absolutely unrelated people, Aoi Hidaka, Kurara Tachibana, Sakuya Kamon, and Johnny Burnette, are invited by an organization that claims to be behind Dancouga... as its pilots. From there on, their search for the truth behind Dancouga's mission and the battle to end all wars begin."
Kyōfu Shinbun,OAV,"['horror', 'supernatural']",6.539,No Theme Found,No summary found
Meisō-Ō Border,OAV,[],5.5303,No Theme Found,No summary found
Money Wars - Nerawareta Waterfront Keikaku,OAV,[],0,No Theme Found,"A new waterfront area is being built in Tokyo, and Chinese mafia man Lin Haifeng wants to gain control of it by owning the majority stock of the company in charge of construction. Lin's plan is to use the waterfront as a gateway for the Chinese mafia in an attempt to turn Tokyo into a ""New Hong Kong"". After his friend Kurihara commits suicide after unknowingly helping Lin get a hold of some stocks, his friend Tsuyoshi Aiba aims to avenge his friend by keeping Lin from taking over the waterfront."
Okama Report,OAV,[],3,No Theme Found,No summary found
Ore no Sora Keiji Hen,OAV,"['action', 'drama', 'mystery']",0,['police'],No summary found
Ozanari Dungeon: Kaze no Tou,OAV,"['adventure', 'comedy', 'fantasy']",6.6889,No Theme Found,"Mocha and her two companions are adventurers for hire. Unfortunately, their quest for wealth is hampered by their inability to finish a job. Just as they are going broke, Mocha contracts to steal a mystic dragon's head from the secluded temple of fire. When the trio finally escapes with the head, it speaks, offering a fortune for abandoning the contract and taking it to a different temple. Mocha readily agrees. They soon find themselves fighting their employer to prevent the end of the world."
Phantom Yūsha Densetsu,OAV,[],5.0125,No Theme Found,No summary found
Goddamn,OAV,[],6.1254,['sports'],"Gen Todoroki, a talented but accident-prone rally driver, gets offered a sponsoring deal by a big-shot car company—and the deal comes with a chance at the Safari Rally Kenya championship. But the road there is bumpy and rich with tough competitors..."
Licca-chan Fushigi na Maho no Ring,OAV,['adventure'],6.5821,No Theme Found,"After watching some fireworks at an amusement park that is closing down, Licca has an adventure trying to assist Lunar in catching 3 night spirits. If the spirits are not caught, the morning will never come."
Licca-chan no Nichiyōbi,OAV,[],6.7183,No Theme Found,"Licca and Izumi has been asked to babysit Izumi's relatives, Aki and Tomo. Izumi is more focused on baking cookies, leaving Licca to fend for herself with a distrustful Aki and an unsure Tomo."
Samuraider: Nazo no Tenkousei,OAV,"['adventure', 'mystery']",6,['delinquents'],No summary found
Tomorrow's Song,special,[],5.7593,No Theme Found,"Short music video produced for NHK's ""Minna no Uta"" series - story: A single mother takes loving care of her only son."
Shakotan Boogie,OAV,['comedy'],6,"['gangs', 'racing']",No summary found
Shizukanaru Don - Yakuza Side Story,OAV,['slice of life'],0,['yakuza'],"Being the only son of the leader of the largest criminal organization (<i>yakuza</i>) in Kantō area, Shizuya Kondō chose not to join the gang and became a rookie designer of an underwear company. However, the assassination of his father forced him to inherit the gang, with one condition: keeping his day job while hiding his true identity from his coworkers, including an aspiring female designer, who is his love interest as well as the only person capable to keep his violent instincts contained. <em class=de-emphasized>(from manga)</em>"
Tsuki ga Noboru made ni,OAV,['drama'],7.2218,['historical'],An old man retells of when the land used to be the site of a U.S. prisoners of war camp and how those U.S. prisoners once saved a Japanese boy from drowning.
Ushiro no Hyakutarō,OAV,"['horror', 'supernatural']",0,No Theme Found,No summary found
Ucchare Goshogawara,OAV,['tournament'],0,['sports'],No summary found
Yokohama Meibutsu Otoko Katayama Gumi!,OAV,[],0,No Theme Found,"Hiromi Katayama, leader of the Yokohama biker gang Crazy Babies, tries to proclaim a one-month moratorium on violence while he trains new recruits and improves ties with his love interest, though his Tokyo rival, the Mad Emperor, has other ideas in this slightly comical bousouzoku anime reminiscent of Bomber Bikers of Shonan."
Ziggy Soreyuke! R&R Band,movie,[],6.2115,No Theme Found,No summary found
Don - Gokudo Suikoden,OAV,"['action', 'drama']",0,['yakuza'],No summary found
Down Load - Namiamidabutsu wa Ai no Uta,OAV,['science fiction'],6.1841,"['computers', 'conspiracy', 'delinquents', 'technology']",No summary found
Genji,OAV,[],0,No Theme Found,No summary found
Gin no Otoko,OAV,['slice of life'],0,No Theme Found,No summary found
Gorillaman,OAV,[],4.4986,No Theme Found,No summary found
Hōkago no Tinker Bell,OAV,"['mystery', 'romance']",6.2944,No Theme Found,"A member of the school broadcasting club suddenly disappears and rumors point towards a student who died in the previous year. His mysterious last message said that he would become Peter Pan. Kenichi and Misako, two friends of the missing girl's boyfriend, find themselves completely wrapped up in this puzzling case."
Mikeneko Holmes no Yurei Joshu,OAV,[],6.4647,No Theme Found,No summary found
Nekohiki no Oruorane,OAV,['magic'],7.8277,No Theme Found,"During the holiday season, a young man encounters a drunken cat belonging to an old man in an alley. The old man has trained his three cats to sing."
Ruri-iro Princess,OAV,[],3,No Theme Found,"First year high school student Ruri Ōbayashi lost both her parents in a house fire and so she lives with her aunt's family. One day, Ruri goes to a concert to see the band ""B-Flash"" perform with her two friends. However, during the concert she is forcibly brought into a dressing room by the band's vocalist and is pulled through a mirror into another world. <em class=de-emphasized>(from manga)</em>"
Shin Dosei Jidai: Hawaiian Breeze,OAV,['romance'],6.4755,No Theme Found,No summary found
Shiritsu Tantei Toki Shozo no Trouble Note - Hard & Loose,OAV,['slice of life'],0,['detective'],No summary found
Kentoshi,OAV,[],0,['sports'],No summary found
Sekai Dōwa Anime Zenshū,OAV,[],7,No Theme Found,No summary found
Sin Sorority,OAV,"['drama', 'erotica', 'magic']",4.3605,No Theme Found,"A plucky coed dreams of new friends and college glory days but after joining the new university, her dream becomes a raunchy reality when she’s inducted unwillingly into an erotic sorority."
Widow,OAV,['erotica'],5.6111,No Theme Found,No summary found
Virgin Auction,OAV,"['drama', 'erotica']",5.2088,No Theme Found,"""Virgin Auctions"" do exactly that—instead of selling girls as slaves, girls sell their virginity and the organization behind the auctions receives a fee. Gin, Umi and Yukina have their very personal motives for taking part and are taken care of by Shirohebi and Rongai, a softcore SM couple in charge of newcomers, prior to the auction. Due to Shirohebi's influence, each girl handles her situation differently and eventually takes control of her life."
Sex Exchange,OAV,"['erotica', 'romance']",6.2012,No Theme Found,"Hikaru has been pining for his stepsister, Mioto. But she’s going out with his friend Hakuro, and he ends up watching the two have sex through a peephole every day. Hikaru has also been sleeping with Akimi, and she walks in on him spying one day. Akimi is also Hikaru's stepsister. She formulates a plot to get Hikaru to love her and blackmails Hakuro into helping her, but things take a strange turn in a hotel room when Hakuro finds out this was all a plan to get him to reveal his real feelings to his stepsister Mioto."
Enspelled,OAV,['erotica'],6.0373,No Theme Found,"Anastacia was a witch who wanted to give up her powers and live a normal life on Earth. She married Genyo and together they started a normal, happy suburban life. Of course, Anastacia some times can't resist using her magic to help her get through the trials and tribulations of everyday life. Her powerful mother is still a bad witch. But what this really means for Anastacia is that she needs to channel her sperm powered sex magic to fight off her psychotic lesbian mother and her army of crazed sex slaves and demons."
The Demonic Beast Front,OAV,"['action', 'science fiction']",6.3728,No Theme Found,No summary found
Notari Matsutaro,OAV,['comedy'],2,['sports'],No summary found
OL Kaizo Koza,OAV,[],0,No Theme Found,No summary found
Onimaru - Senjō ni Kakeru Itsutsu no Seishun,OAV,[],0,No Theme Found,No summary found
Ossu!! Karate Bu,OAV,"['action', 'tournament']",7.3363,['sports'],"Tadashi Matsushita has recently entered the Kansai Fifth Technical High School and joined its notorious karate club. There he meets his captain, Yoshiyuki Takagi, an incredibly strong individual. Feared and respected throughout Osaka, Takagi is deep down an honorable and compassionate guy despite his violent endeavors."
Sengoku Busho Retsuden Bakufu Doji Hissatsuman,OAV,[],9.2625,No Theme Found,No summary found
Matō Kitan Zankan,OAV,"['erotica', 'science fiction']",5.8612,No Theme Found,No summary found
Mizu no Tane,movie,[],0,['historical'],No summary found
The Life of a Poet,movie,['drama'],6.4947,No Theme Found,A mysterious meditation on the power of poetic imagination. A worker fired from a factory for demanding higher wages is plagued by ghastly nightmares. Based on a story by novelist Kobo Abe.
Darker than Black,TV,"['action', 'drama', 'mystery', 'psychological', 'science fiction', 'supernatural']",8.1901,"['assassins', 'conspiracy', 'crime', 'fighting', 'living dolls', 'police', 'superhuman', 'superpowers']","In Tokyo, an impenetrable field known as ""Hell's Gate"" appeared ten years ago. At the same time, psychics who wield paranormal powers at the cost of their conscience also emerged. Hei is one of the most powerful of these psychic agents, and along with his blind associate, Yin, works for one of the many rival agencies vying to unlock the mysteries of Hell's Gate."
Moonlight Mile,TV,"['adventure', 'science fiction']",7.3253,['space'],"After scaling Mt. Everest, mountain climbing partners Saruwatari Gorou and ""Lostman"" Jack F. Woodbridge see the ISA Space Station, and each vows to make the trek into outer space. When helium-3, a new energy source, is discovered on the moon, NASA forms a new project named ""Nexus"" to harness that energy for use on earth. This is the story of the two and the paths they take to see their dream become a reality in the quest to harness the next-generation energy source."
Crayon Shin-chan: Arashi o Yobu Utau Ketsu dake Bakudan!,movie 15,['comedy'],6.4205,No Theme Found,No summary found
Kochira Katsushika-ku Kamearikouen-mae Hashutsujo,special,['comedy'],0,No Theme Found,"Kochikame is a present day anime set in a neighbourhood police station in Tokyo. The story follows the crazy adventures of the main character Kankichi Ryotsu (Ryo-san), a middle aged policeman. <em class=de-emphasized>(from manga)</em>"
Yuki,movie,"['drama', 'magic']",0,['historical'],No summary found
Yawara! Special - Zutto Kimi no Koto ga,special,[],7.4494,['sports'],Yawara Inokuma competes for Japan in the Atlanta Olympic Games as she meets with several familiar faces throughout the tournament.
Yawara! Soreyuke Koshinuke Kids!!,movie,[],5.8769,['sports'],"Yawara helps a group of timid grade school kids overcome their fears and compete in a judo competition. One of the kids is Hanazono's cousin, which is how she meets them. Another is a girl who seems a whole lot like Yawara."
Otaku no Seiza,OAV,['comedy'],5.0122,No Theme Found,No summary found
Uda Uda Yatteru Hima wa Ne!,OAV,"['action', 'comedy']",0,['delinquents'],No summary found
Koryu no Mimi,OAV,['action'],5.4015,No Theme Found,"Kiroemon Natsume is the 45th leader of the Natsume family. Each leader inherits the power of extreme luck, which is sealed away in their left ear. He returns to Japan from Italy to succeed his father as head of the family, but falls in love with Kanako, a member of the rival Mina family. When he discovers that the Mina family is holding her as a hostage to use against him, he will stop at nothing to get her back."
Lord of Lords Ryu Knight: Adeu's Legend II,OAV,[],6.5979,No Theme Found,No summary found
Lord of Lords Ryu Knight: Adeu's Legend Final,OAV,[],6.551,No Theme Found,No summary found
Blue Seed Ver. 1.5 [Premium],OAV,"['comedy', 'romance']",6.4096,No Theme Found,"This is a re-telling of the first series. One episode is seen through the view of Momiji, the other is seen through the view of Kusunagi."
Kigyō Senshi Yamazaki: Long Distance Call,OAV,[],5.8545,No Theme Found,No summary found
Raiyantsūrii no Uta,movie,['drama'],0,['historical'],No summary found
Aoi Kioku - Manmō Kaitaku to Shōnen-tachi,movie,['drama'],0,['historical'],No summary found
Maze Bakunetsu Jikū: Tenpen Kyōi no Giant,movie,"['adventure', 'fantasy']",7,No Theme Found,No summary found
Zeno - Kagiri Naki Ai ni,movie,['drama'],5.9581,['historical'],No summary found
The Laws of the Sun,movie,[],5.2276,No Theme Found,No summary found
The Laws of Eternity,movie,['fantasy'],5.4752,No Theme Found,"Ryuta and his friends from the science club visit a museum exhibit on Thomas Edison and it's there they learn about one of his proposed inventions called the ""spirit phone"" which would enable communication with the deceased. Later that day they bump into a shaman who claims she has a message from Edison. In an instant Ryuta is given the necessary knowledge he needs to construct the device and decides to go for it, so begining a spiritual adventure."
Otogi no Sekai Ryoko,movie,[],0,No Theme Found,No summary found
Tanoshii Bunmeishi Tetsu Monogatari,movie,[],0,['historical'],No summary found
Umi no Triton,movie,"['action', 'adventure']",5.6574,No Theme Found,No summary found
Konpeki no Kantai,OAV,['science fiction'],8.5427,['military'],"An alternate retelling of the Pacific War during World War II, with Admiral Isoroku Yamamoto leading Japan to victory against USA."
Kyokujitsu no Kantai,OAV,['science fiction'],8.6211,['military'],No summary found
Warau Salesman,TV,"['comedy', 'horror', 'psychological', 'thriller']",5.8598,No Theme Found,No summary found
Kiss XXXX,OAV,['romance'],0,No Theme Found,No summary found
Moeru! Oniisan,OAV,[],6.4791,No Theme Found,No summary found
Judo Bu Monogatari,OAV,[],0,['sports'],No summary found
Yaruki Manman,OAV,['erotica'],3.0979,No Theme Found,No summary found
Princess Resurrection,TV,"['action', 'comedy', 'drama', 'horror', 'romance', 'supernatural', 'thriller']",6.7054,"['harem', 'monsters', 'vampires']","Since Hiro Hiyorimi's parents died, he and his sister Sawawa have lived apart. Now, Sawawa has gotten a new job as the caretaker of a creepy old mansion, and has sent Hiro a letter asking him to come and stay there with her. Finding the mansion boarded up and apparently empty, Hiro wanders around town looking for Sawawa. Instead, he runs into the new resident of the mansion, and ends up pushing her out of the way of some falling steel beams. Unfortunately, he loses his own life in the process. Luckily, or perhaps unluckily, the person he thought he saved turns out to be a princess of the monster kingdom, and she grants him a second life...but only for as long as he will be her servant."
Big Windup!,TV,"['comedy', 'drama', 'slice of life', 'tournament']",7.9464,"['baseball', 'sports']","The series, set in Saitama, follows Ren Mihashi, who had previously excelled as his middle school baseball team's ace pitcher, due to his grandfather's connections as its manager. As he graduates to high school, whose baseball team his grandfather does not manage, he initially does not believe he is good enough to succeed at baseball, however, but assisted by his friends, he grows in stature, confidence and skill, helping his team excel with his own ability."
Kyomu Senshi Miroku,OAV,"['action', 'supernatural']",6.8701,"['ninja', 'samurai']",No summary found
Ginga Hyōryū Vifam: Kachua Kara no Tayori,OAV,['comedy'],3,No Theme Found,No summary found
Ginga Hyōryū Vifam: Atsumatta 13-nin,OAV,[],3,No Theme Found,No summary found
Ginga Hyōryū Vifam: Kieta 12-nin,OAV,['comedy'],4.8402,No Theme Found,No summary found
"Ginga Hyōryū Vifam: ""Kate no Kioku"" Namida no Dakkai Sakusen!!",OAV,['science fiction'],6.7419,['mecha'],No summary found
Ōke no Monshō,OAV,['romance'],4,No Theme Found,"Carol is an eager archeology student taking a study trip in Egypt. Isis, the high priestess of ancient Egypt, invokes a curse on Carol that flings her back in time every time she falls into the Nile, back to when Memphis ruled the land. In the past, Carol meets the often cruel but handsome and charismatic Pharaoh Memphis, she becomes intertwined with the history of that time, shaping the way conflicts are played out, becoming a national treasure of Egypt and Memphis' as she is hailed by the ancients as the daughter of the Nile Goddess. <em class=de-emphasized>(from manga)</em>"
"Yume kara, Samenai",OAV,['drama'],6.0648,No Theme Found,No summary found
